state,office,year,candidate,party,candidatevotes,totalvotes,rankedchoice,
West Virginia,GOVERNOR,2011,Bill Maloney,Republican,141656,301084,,
West Virginia,GOVERNOR,2008,"Joe Manchin, III",Democrat,492697,705697,,
West Virginia,GOVERNOR,2008,"Russell E. Weeks, Jr.",Republican,181612,181612,,
West Virginia,GOVERNOR,2004,"Joe Manchin, III",Democrat,472758,744116,,
West Virginia,GOVERNOR,2004,Monty Warner,Republican,253131,744116,,
West Virginia,GOVERNOR,2000,Bob Wise,Democrat,324822,648047,,
West Virginia,GOVERNOR,2000,Cecil H. Underwood,Republican,305926,648047,,
Wisconsin,GOVERNOR,2022,Tony Evers,Democrat,1358774,2656490,,
Wisconsin,GOVERNOR,2022,Tim Michels,Republican,1268535,2656490,,
Wisconsin,GOVERNOR,2018,Tony Evers,Democrat,1324307,2673308,,
Wisconsin,GOVERNOR,2018,Scott Walker,Republican,1295080,2673308,,
Wisconsin,GOVERNOR,2014,Scott Walker,Republican,1259706,2410317,,
Wisconsin,GOVERNOR,2014,Mary Burke,Democrat,1122913,2410317,,
Wisconsin,GOVERNOR,2012,Scott Walker,Republican,1335585,2516065,,
Wisconsin,GOVERNOR,2012,Tom Barrett,Democrat,1164480,2516065,,
Wisconsin,GOVERNOR,2010,Scott Walker,Republican,1128941,2160832,,
Wisconsin,GOVERNOR,2010,Tom Barrett,Democrat,1004303,2160832,,
Wisconsin,GOVERNOR,2006,Jim Doyle,Democrat,1139115,2161700,,
Wisconsin,GOVERNOR,2006,Mark Green,Republican,979427,2161700,,
Wisconsin,GOVERNOR,2002,Jim Doyle,Democrat,800515,1735649,,
Wisconsin,GOVERNOR,2002,Scott McCallum,Republican,734779,1735649,,
Wyoming,GOVERNOR,2022,Mark Gordon,Republican,143696,194000,,
Wyoming,GOVERNOR,2022,Theresa Livingston,Democrat,30686,194000,,
Wyoming,GOVERNOR,2018,Mark Gordon,Republican,136412,203238,,
Wyoming,GOVERNOR,2018,Mary Throne,Democrat,55965,203238,,
Wyoming,GOVERNOR,2014,Matt Mead,Republican,99700,167877,,
Wyoming,GOVERNOR,2014,Pete Gosar,Democrat,45752,167877,,
Wyoming,GOVERNOR,2010,Matt Mead,Republican,123780,188463,,
Wyoming,GOVERNOR,2010,Leslie Petersen,Democrat,43240,188463,,
